"t_state","t_county","tot_cap","avg_p_cap","avg_hh","avg_rd","ordinance","t_manu","turbines","t_model","t_rsa","t_ttlh","fraction_of_usable_area","capacity","wind_speed","capacity_factor","area_2010"
"AZ","Cochise",30,30,80,110,0,"Vestas",15,"V110-2.0",9503.32,135,0.912740909090909,14.8181818181818,6.15590909090909,0.296863636363636,6165.69
"AZ","Coconino",97.6,99.2,80,82.5,0,"GE Wind",61,"GE1.6-82.5",5345.62,121.3,0.884857722513089,14.6282722513089,6.82456806282723,0.318717277486911,18618.89
"AZ","Mohave",357.3,336.538461538462,87.8846153846154,124.730769230769,0,"GE Wind",130,"GE2.82-127",12263.6630769231,150.173076923077,0.746433783783784,12.5990990990991,6.56058558558559,0.318907657657658,13311.08
"AZ","Navajo",128.1,64.0672131147541,79,88,1,"Suzlon",61,"S88",6082.12,123.1,0.866864814814815,14.462962962963,6.57691358024691,0.30408950617284,9950.42
"CA","Alameda",210.16,58.507868852459,76.8032786885246,92.0491803278689,0,"GE Wind",122,"GE1.7-100",7234.88090163934,122.9,0.830486666666667,13.8222222222222,6.67555555555556,0.353333333333333,739.02
"CA","Contra Costa",113.9,56.6845070422535,66.6197183098592,79.8056338028169,1,"Mitsubishi",71,"MWT62/1.0",5308.53535211268,106.469014084507,0.683024324324324,11.6756756756757,6.8427027027027,0.393756756756757,715.94
"CA","Imperial",264.18,193.832142857143,80,108,0,"Siemens",112,"SWT-2.37-108",9160.88,134.1,0.682036263736264,11.6483516483516,7.39857142857143,0.37610989010989,4176.6
"CA","Kern",2946.7,136.251941272431,78.3572593800979,93.1692495921697,1,"Vestas",1226,"V90-3.0",6986.41576672104,124.976590538336,0.714392113564669,12.2018927444795,7.57384858044164,0.379276025236593,8131.92
"CA","Los Angeles",1.85,1.85,80,82.5,0,"GE Wind",1,"GE1.85-82.5",5345.62,121.3,0.733839772727273,12.4659090909091,6.44579545454545,0.338721590909091,4057.88
"CA","Monterey",14.59,2.89,82.5714285714286,100.214285714286,1,"GE Wind",7,"GE1.85-82.5",8154.31428571429,132.728571428571,0.7828,13.4285714285714,4.56,0.194571428571429,3280.6
"CA","Riverside",451.9,43.1386979166667,63.5520833333333,61.6252604166667,1,"Vestas",384,"V47-0.66",3286.21140625,94.3669270833333,0.658805627705628,11.2813852813853,6.98060606060606,0.358701298701299,7206.48
"CA","San Bernardino",7.2,2.68,75,76.08,1,"GE Wind",5,"GE1.6-82.5",4593.084,113.08,0.811006516492357,13.5172968624296,6.40855993563958,0.325847948511665,20056.94
"CA","San Diego",182.95,105.115060240964,76.0843373493976,100.680722891566,1,"GE Wind",83,"GE2.3-107",8030.21397590361,126.455421686747,0.683325531914894,11.6382978723404,6.81691489361702,0.333840425531915,4206.63
"CA","San Joaquin",3.5,1.83333333333333,63.3333333333333,66.6,0,"Mitsubishi",3,"MWT62/1.0",3526.15666666667,96.5666666666667,0.9688625,15.625,5.315,0.265875,1391.32
"CA","Shasta",101.2,101.2,80,93,0,"Siemens",44,"SWT-2.3-93",6792.91,126.5,0.867958620689655,14.551724137931,6.66310344827586,0.323551724137931,3775.4
"CA","Solano",1025.33,120.473276836158,73.6167608286252,84.8613935969868,1,"Vestas",531,"MM92",5741.8086440678,116.041619585687,0.929973611111111,15.0555555555556,7.07263888888889,0.433430555555556,821.77
"CA","Tehama",1.5,1.5,65,77,1,"GE Wind",1,"GE1.5-77",4656.63,103.6,0.970975,15.625,5.691875,0.296,2949.71
"CA","Yolo",1.5,1.5,80,77,1,"GE Wind",1,"GE1.5-77",4656.63,118.6,0.858728571428571,14,5.57257142857143,0.277171428571429,1014.69
"CO","Baca",1.5,3,80,70.5,0,"GE Wind",1,"GE1.5-70.5",3903.63,115.2,0.941294827586207,15.2689655172414,8.32555172413793,0.448462068965517,2554.97
"CO","Bent",75,75,80,77,0,"GE Wind",50,"GE1.5-77",4656.63,118.6,0.976709210526316,15.7631578947368,7.58328947368421,0.394657894736842,1512.86
"CO","Cheyenne",370.8,465.314285714286,80.7440476190476,118.75,1,"Vestas",168,"V120-2.2",11093.6529761905,140.042261904762,1,16,8.0525,0.420708333333333,1778.28
"CO","El Paso",246.5,249.2,80,103,1,"GE Wind",145,"GE1.7-103",8332.29,131.4,0.727304424778761,12.353982300885,7.23194690265487,0.322097345132743,2126.8
"CO","Elbert",471,362.372839506173,80,106.41975308642,1,"Vestas",243,"V110-2.0",8934.1487654321,133.218518518519,0.985470731707317,15.8536585365854,7.44146341463415,0.349487804878049,1850.85
"CO","Huerfano",111.79,47.9424137931034,81.5862068965517,104.48275862069,0,"Vestas",58,"GE1.79-100",8671.87706896552,133.862068965517,0.91780780141844,15.0354609929078,7.7159219858156,0.365996453900709,1591
"CO","Jefferson",5.8,7.1,83.3333333333333,91.6666666666667,1,"GE Wind",3,"GE1.5-77",6686.09666666667,129.166666666667,0.740053571428571,12.6607142857143,6.3875,0.261035714285714,764.21
"CO","Kit Carson",811.86,262.040674157303,83.8820224719101,113.410112359551,0,"GE Wind",356,"GE2.82-127",10342.3000561798,140.582865168539,0.990434210526316,15.8684210526316,7.85842105263158,0.403776315789474,2160.82
