"","State","County","ordinance_year"
"1","Alabama","Baldwin",2013
"2","Alabama","Cherokee",2014
"3","Alabama","Dekalb",2018
"4","Alabama","Etowah",2014
"5","Arizona","Apache",2021
"6","Arizona","Navajo",2010
"7","California","Butte",2015
"8","California","Contra Costa",2011
"9","California","El Dorado",2017
"10","California","Kern",2011
"11","California","Lassen",1984
"12","California","Marin",2012
"13","California","Monterey",2009
"14","California","Riverside",2002
"15","California","San Bernardino",2012
"16","California","San Diego",2012
"17","California","San Luis Obispo",1992
"18","California","Santa Barbara",2011
"19","California","Santa Clara",2014
"20","California","Santa Cruz",1983
"21","California","Solano",2012
"22","California","Sonoma",2013
"23","California","Tehama",2015
"24","California","Yolo",2015
"25","California","Yuba",2015
"26","Colorado","Cheyenne",2011
"27","Colorado","Clear Creek",2015
"28","Colorado","El Paso",2016
"29","Colorado","Elbert",2019
"30","Colorado","Jefferson",2010
"31","Colorado","Lincoln",2017
"32","Colorado","Routt",2011
"33","Colorado","Sedgwick",2019
"34","Colorado","Washington",2021
"35","Colorado","Yuma",2014
"36","Delaware","Sussex",2011
"37","Florida","Hillsborough",2011
"38","Florida","Pinellas",2018
"39","Georgia","Burke",2018
"40","Idaho","Bannock",2013
"41","Idaho","Bingham",2012
"42","Idaho","Caribou",2017
"43","Idaho","Fremont",2020
"44","Illinois","Adams",2010
"45","Illinois","Boone",2012
"46","Illinois","Bureau",2023
"47","Illinois","Carroll",2013
"48","Illinois","Champaign",2010
"49","Illinois","Christian",2020
"50","Illinois","Coles",2008
"51","Illinois","DeKalb",2018
"52","Illinois","DeWitt",2009
"53","Illinois","Ford",2009
"54","Illinois","Henry",2009
"55","Illinois","Iroquois",2004
"56","Illinois","Jo Daviess",2009
"57","Illinois","Kankakee",2009
"58","Illinois","Kendall",2010
"59","Illinois","LaSalle",2016
"60","Illinois","Lee",2006
"61","Illinois","Livingston",2017
"62","Illinois","Logan",2021
"63","Illinois","Macon",2014
"64","Illinois","Marshall",2019
"65","Illinois","Mason",2009
"66","Illinois","McLean",2016
"67","Illinois","Mercer",2014
"68","Illinois","Montgomery",2009
"69","Illinois","Morgan",2019
"70","Illinois","Moultrie",2023
"71","Illinois","Peoria",2017
"72","Illinois","Piatt",2022
"73","Illinois","Randolph",2019
"74","Illinois","Sangamon",2023
"75","Illinois","Tazewell",2009
"76","Illinois","Warren",2006
"77","Illinois","Whiteside",2018
"78","Illinois","Will",2012
"79","Illinois","Winnebago",2022
"80","Illinois","Woodford",2008
"81","Indiana","Benton",2006
"82","Indiana","Cass",2009
"83","Indiana","Clinton",2009
"84","Indiana","Grant",2008
"85","Indiana","Henry",2018
"86","Indiana","Huntington",2015
"87","Indiana","Jay",2009
"88","Indiana","Marshall",2007
"89","Indiana","Montgomery",2009
"90","Indiana","Randolph",2010
"91","Indiana","Rush",2009
"92","Indiana","Steuben",2010
"93","Indiana","Tippecanoe",2010
"94","Indiana","Tipton",2009
"95","Indiana","Wabash",2017
"96","Indiana","Warren",2016
"97","Indiana","White",2008
"98","Iowa","Adair",2018
"99","Iowa","Boone",2009
"100","Iowa","Buchanan",2020
"101","Iowa","Butler",2013
"102","Iowa","Cass",2015
"103","Iowa","Cedar",2019
"104","Iowa","Cherokee",2014
"105","Iowa","Clay",2011
"106","Iowa","Delaware",2010
"107","Iowa","Dickinson",2014
"108","Iowa","Floyd",2015
"109","Iowa","Greene",2011
"110","Iowa","Grundy",2010
"111","Iowa","Ida",2015
"112","Iowa","Iowa",2014
"113","Iowa","Kossuth",2018
"114","Iowa","Madison",2020
"115","Iowa","Muscatine",2016
"116","Iowa","O'Brien",2010
"117","Iowa","Osceola",2013
"118","Iowa","Palo Alto",2016
"119","Iowa","Plymouth",2010
"120","Iowa","Polk",2009
"121","Iowa","Pottawattamie",2008
"122","Iowa","Poweshiek",2011
"123","Iowa","Story",2013
"124","Iowa","Tama",2010
"125","Kansas","Barton",2013
"126","Kansas","Cherokee",2022
"127","Kansas","Crawford",2017
"128","Kansas","Dickinson",2022
"129","Kansas","Douglas",2020
"130","Kansas","Franklin",2019
"131","Kansas","Harper",2016
"132","Kansas","Harvey",2002
"133","Kansas","Lyon",2008
"134","Kansas","Marshall",2022
"135","Kansas","Miami",2016
"136","Kansas","Osage",2010
"137","Kansas","Pawnee",2009
"138","Kansas","Pottawatomie",2008
"139","Kansas","Pratt",2012
"140","Kansas","Saline",2008
"141","Kansas","Sumner",2012
"142","Maryland","Allegany",2019
"143","Maryland","Anne Arundel",2010
"144","Maryland","Calvert",2010
"145","Maryland","Carroll",2008
"146","Maryland","Somerset",2010
"147","Maryland","Worcester",2010
"148","Michigan","Emmet",2015
"149","Michigan","Gratiot",2009
"150","Michigan","Huron",2010
"151","Michigan","Ionia",2010
"152","Michigan","Otsego",2015
"153","Michigan","Ottawa",2009
"154","Michigan","Shiawassee",2018
"155","Minnesota","Benton",2009
"156","Minnesota","Chippewa",2005
"157","Minnesota","Clay",2009
"158","Minnesota","Cook",2021
"159","Minnesota","Cottonwood",2016
"160","Minnesota","Douglas",2012
